,Date,User,Tweet
0,2019-05-12 01:17:12+00:00,narendramodi,"Yet another phase of the 2019 Lok Sabha elections is here! 

Urging all those whose constituencies are polling in today’s sixth phase to go out and vote. I hope youngsters are voting in record numbers. After all, their participation makes the polls even more special."
1,2019-05-09 02:00:26+00:00,narendramodi,"Will be addressing five rallies today. 

Looking forward to sharing NDA's development agenda with the people of Bankura, Purulia, Azamgarh, Jaunpur and Prayagraj. 

Both Uttar Pradesh and West Bengal are witnessing great support towards BJP."
2,2019-05-08 13:41:51+00:00,narendramodi,"Delhi has always given great love and affection to BJP. In a short while from now, will be addressing a rally at the historic Ramlila Maidan in Delhi. Do watch!"
3,2019-05-06 01:18:46+00:00,narendramodi,"Requesting all those voting in today’s fifth phase of the 2019 Lok Sabha elections to do so in large numbers. 

A vote is the most effective way to enrich our democracy and contribute to India’s better future. 

I hope my young friends turnout in record numbers."
4,2019-04-29 01:18:03+00:00,narendramodi,"Another phase of the General Elections begins today. I hope those voting today do so in large numbers and break the voting records of the previous three phases. 

A special appeal to young voters to head to the polling booth and exercise their franchise."
5,2019-04-24 03:08:45+00:00,narendramodi,"The campaign takes me to parts of Jharkhand and West Bengal. 

Will speak at a rally in Lohardaga.

Will then address rallies in Bolpur and Ranaghat in West Bengal, where BJP is rising and TMC rallies are super flops!"
6,2019-04-23 01:17:29+00:00,narendramodi,"Urging all those voting in today’s Third Phase of the 2019 Lok Sabha elections to do so in record numbers. Your vote is precious and will shape the direction our nation takes in the years to come. 

I’ll be voting in Ahmedabad in a short while from now."
7,2019-04-22 04:21:17+00:00,narendramodi,"Will be heading to Maharashtra and Rajasthan yet again to seek people’s blessings. 

Calling upon the people of Dindori, Nandurbar, Udaipur and Jodhpur to join the rallies in large numbers. I shall talk about the BJP’s development agenda."
8,2019-04-21 03:07:10+00:00,narendramodi,"Heading westwards today. Will join rallies in Patan (Gujarat), Chittorgarh and Barmer (Rajasthan). 

Gujarat and Rajasthan have seen the pioneering work of BJP. 

In Rajasthan, there is a sense of betrayal and despondency after Congress came to power. People will reject Congress."
9,2019-04-18 01:22:57+00:00,narendramodi,"Dear Citizens of India,

Phase 2 of the Lok Sabha polls start today. I am sure all those whose seats are polling today will strengthen our democracy by exercising their franchise. 

I hope more youngsters head to the polling booths and vote!"
10,2019-04-15 14:36:02+00:00,narendramodi,"Do watch my interview with @DDNewsLive and @rajyasabhatv at 9 PM tonight. 

Have spoken on a wide range of issues concerning the nation and the elections of course!"
11,2019-04-14 02:58:19+00:00,narendramodi,"Another day, another set of rallies and the great opportunity of interacting with my fellow Indians...

Will join rallies in Kathua (Jammu and Kashmir), Aligarh and Moradabad (Uttar Pradesh). 

As the campaign is progressing, I can see that BJP’s support is steadily rising."
12,2019-04-11 02:38:12+00:00,narendramodi,"This morning, will campaign for NDA at a rally in Bhagalpur, Bihar. 

Later in the day, will be in Assam where I will join public meetings in Mangaldai and Silchar. 

The mood across the nation is firmly in favour of the NDA."
13,2019-04-11 01:29:41+00:00,narendramodi,"2019 Lok Sabha elections commence today.

I call upon all those whose constituencies are voting in the first phase today to turn out in record numbers and exercise their franchise. 

I specially urge young and first-time voters to vote in large numbers."
14,2019-04-10 02:44:19+00:00,narendramodi,"Today’s public meetings will take place in Gujarat and Goa, where BJP’s good governance has positively impacted several lives. Will be addressing rallies in Junagadh, Songadh and Panaji. @BJP4Gujarat @BJP4Goa"
15,2019-04-09 13:27:51+00:00,narendramodi,"Shri Bhima Mandavi was a dedicated Karyakarta of the BJP. Diligent and courageous, he assiduously served the people of Chhattisgarh. His demise is deeply anguishing. Condolences to his family and supporters. Om Shanti."
16,2019-04-06 02:51:28+00:00,narendramodi,"I would be campaigning in Balod, Chhattisgarh today. People of the state are already tired of Congress misrule. Congress came to power on false promises, which they are unable to deliver on. I will talk about NDA’s work &amp; seek people’s blessings for Lok Sabha polls. @BJP4CGState"
17,2019-04-05 04:26:20+00:00,narendramodi,"I would be addressing campaign rallies in Amroha, Saharanpur (Uttar Pradesh) and Dehradun (Uttarakhand) today. Looking forward to interacting with the people of these places and elaborating on the BJP’s development agenda."
18,2019-04-03 04:45:17+00:00,narendramodi,"Glad to be going back to Arunachal Pradesh today. Will address a public meeting in Pasighat. 

In Arunachal Pradesh, like the rest of the Northeast, BJP is gaining substantial popularity. Our good work stands in contrast to Congress’ apathy and loot. @BJP4Arunachal"
19,2019-03-30 01:38:13+00:00,narendramodi,"Would be addressing a rally in Aalo, Arunachal Pradesh today. Over the last few years, the @BJP4Arunachal Government in the state has done exceptional work in various sectors. I will request the people of the state to bless BJP in the Lok Sabha and Vidhan Sabha polls."
20,2019-03-25 14:20:46+00:00,narendramodi,"Birthday wishes to my valued Cabinet colleague @ChBirenderSingh Ji. 

Birender Ji is a veteran leader whose experience is an asset for the BJP and Central Government. His passion for farmer welfare and work in the steel sector is noteworthy. Praying for his long and healthy life."
21,2019-03-24 14:48:42+00:00,narendramodi,"If you are undertaking any innovative voter awareness campaign, do share details using #VoteKar. 

Together, we will ensure maximum Indians exercise their franchise."
22,2019-03-24 14:41:47+00:00,narendramodi,"Newspapers are a fantastic way to reaffirm the vitality of voting. 

That is why, I request the teams of @manoramaonline, @AmarUjalaNews and Sakal Media Group to motivate more people to exercise their franchise through innovative voter awareness campaigns. #VoteKar"
23,2019-03-24 14:40:45+00:00,narendramodi,"Participative democracy can be furthered through high voter turnout. 

I urge @MiLOKMAT, @NavbharatTimes and @punjabkesari to increase vote awareness and turnout. 

Their doing so would strengthen our polity. #VoteKar"
24,2019-03-24 14:36:53+00:00,narendramodi,"Dear @imbhandarkar, @vivekagnihotri and @RajkummarRao, 

Your work in the cinema industry has touched upon interesting and innovative themes. Your words and actions matter. 

I request you to increase voter awareness and motivate youth to vote in large numbers. #VoteKar"
25,2019-03-24 14:33:22+00:00,narendramodi,"As widely watched news personalities, I call upon @bhupendrachaube, @szarabi &amp; @AMISHDEVGAN to leverage the power of electronic media to ensure high turnout in the 2019 Lok Sabha polls. After all, a vote is a powerful way to bring about a positive difference in society. #VoteKar"
26,2019-03-24 14:32:24+00:00,narendramodi,"It would be wonderful if @SwetaSinghAT, @debjani_ghosh_ and @chitraaum devote time and energy towards boosting voter turnout in the upcoming Parliamentary elections. 

Tell the people of India- #VoteKar."
27,2019-03-24 14:23:02+00:00,narendramodi,"The formidable @AnupamPKher, multifaceted @iKabirBedi and the widely acclaimed @shekharkapur have made India very proud at the world stage. 

My appeal to them- can you tell fellow Indians to vote in large numbers in the upcoming elections? #VoteKar"
28,2019-03-24 14:20:48+00:00,narendramodi,"My fellow Indians,

The time has come to say- #VoteKar.

In the upcoming Lok Sabha elections, ensure that you as well as your family and friends turnout in record numbers.

Your doing so will have a positive impact on the nation’s future."
29,2019-03-24 03:28:10+00:00,narendramodi,"Government of India and various State Governments are working hard to make India TB-free by 2025, 5 years before the global target of 2030. 
Centre’s efforts such as TB Free India campaign and Ayushman Bharat are improving health standards and providing assistance to TB patients."
30,2019-03-23 02:02:00+00:00,narendramodi,Greetings to @smritiirani Ji on her birthday. She has made valuable contributions towards strengthening the BJP and in the working of key sectors of the Government. I pray for her long life and good health. I also convey my best wishes to her for the upcoming election in Amethi.
31,2019-03-13 05:30:30+00:00,narendramodi,"My fellow Indians, 

Urging you all to strengthen voter awareness efforts across India. 

Let us all ensure maximum number of Indians come out to vote in the 2019 Lok Sabha elections."
32,2019-03-13 05:25:00+00:00,narendramodi,"Dear @mathrubhumieng, @dinathanthi and Eenadu, 

You have worked to give voice to people's aspirations.

Increased voter awareness is key to a strong democracy. 

I appeal to you to motivate people to vote in large numbers."
33,2019-03-13 05:15:53+00:00,narendramodi,"Urging @SrBachchan, @iamsrk and @karanjohar to creatively ensure high voter awareness and participation in the coming elections. 

Because...its all about loving your democracy (and strengthening it). :)"
34,2019-03-13 05:14:38+00:00,narendramodi,"Voting is not only a right but it’s also a duty. 

Dear @BeingSalmanKhan and @aamir_khan, 

It is time to inspire and motivate youth in your own Andaz to vote so that we can strengthen Apna Democracy &amp; Apna country."
35,2019-03-13 05:13:48+00:00,narendramodi,"Dear @akshaykumar, @bhumipednekar and @ayushmannk, 

The power of a vote is immense and we all need to improve awareness on its importance. 

Thoda Dum Lagaiye aur Voting ko Ek Superhit Katha banaiye."
36,2019-03-13 05:12:51+00:00,narendramodi,"I call upon veterans of the media world, @RajatSharmaLive, @subhashchandra and @vineetjaintimes to take the lead in highlighting the need to vote in large numbers. Doing so would ensure greater participation in democratic processes and strengthen our nation's development."
37,2019-03-13 05:12:14+00:00,narendramodi,"Dear @msdhoni, @imVkohli and @ImRo45, 
You are always setting outstanding records on the cricketing field but this time, do inspire the 130 crore people of India to set a new record of high voter turnout in the upcoming elections. 
When this happens, democracy will be the winner!"
38,2019-03-13 05:10:06+00:00,narendramodi,"Dear @anilkumble1074, @VVSLaxman281 and @virendersehwag - your heroic deeds on the cricket pitch have inspired millions. 

Come, it is time to inspire people once again, this time to vote in record numbers."
39,2019-03-13 05:09:20+00:00,narendramodi,"I appeal to @RubikaLiyaquat, @anjanaomkashyap, @sudhirchaudhary, @rahulkanwal and the team of @republic to spread awareness on voter registration, and why every Indian, particularly the youth should vote. 

Your support can ensure more people exercise their franchise."
40,2019-03-13 05:08:27+00:00,narendramodi,"Dear @BajrangPunia, @shankar_live and @BajpayeeManoj, 

Your talent and skill has entertained millions, and made India proud. 

Your voice is respected widely. 

Please lend strength to our democracy by increasing voter awareness and inspiring people to vote."
41,2019-03-13 05:04:37+00:00,narendramodi,"Requesting @deepikapadukone, @aliaa08 and @AnushkaSharma to urge people to vote in large numbers for the coming elections. 

As renowned film personalities whose work is admired by many, I am sure their message will have a positive impact on our citizens."
42,2019-03-13 05:01:03+00:00,narendramodi,"Respected @CitiznMukherjee, 
Being among India's most prolific statesmen and someone who has been active in politics for decades, you would understand the power of a vote. I request you to appeal to the people to enrich the festival of democracy by participating in large numbers."
43,2019-03-13 05:00:10+00:00,narendramodi,"When @mangeshkarlata Didi, @sachin_rt and @arrahman say something, the nation takes note!

I humbly request these remarkable personalities to inspire more citizens to come out and vote in the 2019 elections. 

A vote is a great way to make the people's voice heard."
44,2019-03-13 04:54:39+00:00,narendramodi,"Dear @sarbanandsonwal, @himantabiswa, @SangmaConrad and @Neiphiu_Rio,  

I request you to work towards increasing vote awareness in the Northeast. 

A vote is a powerful way for people to express and become active participants in India's growth trajectory."
45,2019-03-13 04:47:59+00:00,narendramodi,"My young friends @RanveerOfficial, @Varun_dvn &amp; @vickykaushal09, 

Many youngsters admire you. 

It is time to tell them: Apna Time Aa Gaya Hai and that it is time to turn up with high Josh to a voting centre near you."
46,2019-03-13 04:42:38+00:00,narendramodi,"Dear @RNTata2000, @anandmahindra and @ashishchauhan, 

India wins when our democracy gets strengthened. 

Ensuring maximum participation in voting is the perfect way to strengthen democracy. 

Can we all make this happen?"
47,2019-03-13 04:41:04+00:00,narendramodi,"Dear @srikidambi, @Pvsindhu1 &amp; @NSaina, 

The core of badminton is the court and the core of democracy is the vote. 

Just like you smash records, do also inspire a record-breaking voter turnout. I request you to increase voter awareness &amp; motivate youth to vote in large numbers."
48,2019-03-13 04:39:37+00:00,narendramodi,"India is proud of @Neeraj_chopra1, @DuttYogi and @WrestlerSushil. 
However, they made India win because they participated. I request Neeraj, Yogeshwar and Sushil to encourage people to participate in the elections and vote so that India wins here too!"
49,2019-03-13 04:36:50+00:00,narendramodi,"Dear @k_satyarthi, @thekiranbedi and @sudarsansand, 

A vote gives voice to people's aspirations. 

As widely respected personalities, your efforts towards increasing voter awareness will strengthen India's democracy. 

I request you to lend your voice for the same."
50,2019-03-13 04:35:54+00:00,narendramodi,"Dear @Mohanlal and @iamnagarjuna, 

Your performances have entertained millions over the years and you have also won many awards. I request you to create greater voter awareness and urge people to vote in large numbers.

The award here is, a vibrant democracy."
51,2019-03-13 04:34:34+00:00,narendramodi,"Dear @HarsimratBadal_ , @ichiragpaswan and @AUThackeray, increasing awareness among the youth on the importance of voting is a paramount task in front of us. 

Urging you to do your best to ensure high public participation in the upcoming elections."
52,2019-03-13 04:33:34+00:00,narendramodi,"Dear @NitishKumar, @irvpaswan and @pawanchamling5, soliciting your support and active participation in improving voting across the country in the coming elections. 

Let us strive to create an atmosphere where maximum voting can take place."
53,2019-03-13 04:30:25+00:00,narendramodi,"I call upon KCR Garu, @Naveen_Odisha, @hd_kumaraswamy, @ncbn and @ysjagan to work towards bringing maximum Indians to the polling booths in the upcoming elections. May voter awareness efforts be strengthened across the length and breadth of India."
54,2019-03-10 12:38:04+00:00,narendramodi,"Wishing all political parties and candidates the very best for the 2019 Lok Sabha elections. 

We may belong to different parties but our aim must be the same- the development of India and empowerment of every Indian!"
55,2019-03-10 12:33:51+00:00,narendramodi,"Best wishes to the Election Commission, all those officials and security personnel who will be on the field, across the length and breadth of India assuring smooth elections. India is very proud of the EC for assiduously organising elections for several years."
56,2019-03-10 12:33:09+00:00,narendramodi,"The festival of democracy, Elections are here. 

I urge my fellow Indians to enrich the 2019 Lok Sabha elections with their active participation. I hope this election witnesses a historic turnout. 

I particularly call upon first time voters to vote in record numbers."
57,2019-02-24 12:03:26+00:00,narendramodi,"Enrich the programme on 28th by:

Mobilising family &amp; friends to join.

Filling People’s Pulse survey and giving ground level feedback from your constituency. 

Donate to BJP, boost morale of Karyakartas. 

Share thoughts on NaMo App or social media using #MeraBoothSabseMazboot."
58,2019-02-14 03:51:06+00:00,narendramodi,Greetings to @SushmaSwaraj Ji on her birthday. Sushma Ji is one of the most remarkable leaders of our nation. She has distinguished herself as an outstanding Minister and her oratory is par excellence. Her role in strengthening BJP is key. Praying for her long and healthy life.
59,2019-02-12 12:53:21+00:00,narendramodi,"I am really happy to see @BJP4India leaders and Karyakartas strengthen the #MeraParivarBhajapaParivar movement across India. 

It is wonderful to see the BJP endearing itself to all sections of society and being at the forefront of raising issues of public welfare."
60,2019-02-09 12:23:13+00:00,narendramodi,"During Congress rule, the headlines from the Northeast indicated sheer neglect and apathy. The headlines now reflect positivity and development. 

Congress has zero respect for Assam’s culture. They had no will to implement important parts of the Assam Accord."
61,2019-02-08 01:57:45+00:00,narendramodi,"In the afternoon, I will address a public meeting in Mainaguri. 

During my recent visits to West Bengal, I have been seeing the massive support for BJP. 

The people of West Bengal realise that only BJP can fulfil their dreams and aspirations. @BJP4Bengal"
62,2019-01-31 11:15:16+00:00,narendramodi,I thank the people of Jind for blessing @BJP4Haryana. This is a seat where the Party has never won before. Glad to see the development agenda of BJP finding support among all sections of society. I congratulate the Haryana BJP and CM @mlkhattar for assiduously serving the people.
63,2019-01-25 06:31:18+00:00,narendramodi,I urge people from all walks of life to create awareness on voter registration and especially request my young friends to register themselves as voters if they have not done so already. Every vote cast enhances our democratic fabric.
64,2019-01-19 16:41:47+00:00,narendramodi,"They got together in Kolkata with no agenda but to stop BJP.

They talk of democracy in a state where the ruling party does not even allow local elections democratically. 

130 crore Indians are watching their games with great amusement. 

India will give them a befitting reply!"
